state,county,primary_city,zip,address,phone,mailing,fax
IA,Warren County,Ackworth,50001,"301 N. Buxton Ave., Ste. 101 Indianola IA 50125",515-961-1020,"301 N. Buxton Ave., Ste. 101 Indianola IA 50125",515-961-1049
IA,Adair County,Adair,50002,400 Public Square Ste 5 Greenfield IA 50849,641-743-2546,400 Public Square Ste 5 Greenfield IA 50849,641-743-2565
IA,Dallas County,Adel,50003,210 N 10th St Adel IA 50003,515-993-6914,210 N 10th St Adel IA 50003,515-993-6930
IA,Marshall County,Albion,50005,"TEMPORARY: Great Western Bank, 11 N. 1st Ave, 2nd Floor Marshalltown IA 50158",641-754-6323,"TEMPORARY: Great Western Bank, 11 N. 1st Ave, 2nd Floor Marshalltown IA 50158",641-754-6321
IA,Hardin County,Alden,50006,"1215 Edgington Avenue, Ste. 1 Eldora IA 50627",641-939-8109,"1215 Edgington Avenue, Ste. 1 Eldora IA 50627",641-939-8245
IA,Polk County,Alleman,50007,120 2nd Avenue Des Moines IA 50309,515-286-3247,120 2nd Avenue Des Moines IA 50309,515-286-2099
IA,Wayne County,Allerton,50008,100 N. Lafayette St. Corydon IA 50060,641-872-2242,100 N. Lafayette St. Corydon IA 50060,641-872-2843
IA,Polk County,Altoona,50009,120 2nd Avenue Des Moines IA 50309,515-286-3247,120 2nd Avenue Des Moines IA 50309,515-286-2099
IA,Story County,Ames,50010,900 6th Street Nevada IA 50201,515-382-7210,900 6th Street Nevada IA 50201,515-382-7221
IA,Story County,Ames,50014,900 6th Street Nevada IA 50201,515-382-7210,900 6th Street Nevada IA 50201,515-382-7221
IA,Cass County,Anita,50020,5 W. 7th Street Atlantic IA 50022,712-243-4570,5 W. 7th Street Atlantic IA 50022,712-243-4572
IA,Polk County,Ankeny,50021,120 2nd Avenue Des Moines IA 50309,515-286-3247,120 2nd Avenue Des Moines IA 50309,515-286-2099
IA,Cass County,Atlantic,50022,5 W. 7th Street Atlantic IA 50022,712-243-4570,5 W. 7th Street Atlantic IA 50022,712-243-4572
IA,Polk County,Ankeny,50023,120 2nd Avenue Des Moines IA 50309,515-286-3247,120 2nd Avenue Des Moines IA 50309,515-286-2099
IA,Audubon County,Audubon,50025,318 Leroy Street #4 Audubon IA 50025,712-563-2584,318 Leroy Street #4 Audubon IA 50025,712-563-2428
IA,Guthrie County,Bagley,50026,200 N. 5th Guthrie Center IA 50115,641-747-3619,200 N. 5th Guthrie Center IA 50115,641-747-3027
IA,Mahaska County,Barnes City,50027,106 S. 1st Street Oskaloosa IA 52577,641-673-7148,106 S. 1st Street Oskaloosa IA 52577,641-673-8979
IA,Jasper County,Baxter,50028,101 1st Street N. Newton IA 50208,641-792-7016,101 1st Street N. Newton IA 50208,641-792-1053
IA,Guthrie County,Bayard,50029,200 N. 5th Guthrie Center IA 50115,641-747-3619,200 N. 5th Guthrie Center IA 50115,641-747-3027
IA,Madison County,Bevington,50033,112 N. 1st Street Winterset IA 50273,515-462-3914,112 N. 1st Street Winterset IA 50273,515-462-5888
IA,Hamilton County,Blairsburg,50034,2300 Superior Street Webster City IA 50595,515-832-9510,2300 Superior Street Webster City IA 50595,515-832-9514
IA,Polk County,Bondurant,50035,120 2nd Avenue Des Moines IA 50309,515-286-3247,120 2nd Avenue Des Moines IA 50309,515-286-2099
IA,Boone County,Boone,50036,201 State Street Boone IA 50036,515-433-0502,201 State Street Boone IA 50036,515-432-8102
IA,Dallas County,Booneville,50038,210 N 10th St Adel IA 50003,515-993-6914,210 N 10th St Adel IA 50003,515-993-6930
IA,Dallas County,Bouton,50039,210 N 10th St Adel IA 50003,515-993-6914,210 N 10th St Adel IA 50003,515-993-6930
IA,Audubon County,Brayton,50042,318 Leroy Street #4 Audubon IA 50025,712-563-2584,318 Leroy Street #4 Audubon IA 50025,712-563-2428
IA,Marion County,Bussey,50044,214 E. Main Knoxville IA 50138,641-828-2217,214 E. Main Knoxville IA 50138,641-828-6351
IA,Story County,Cambridge,50046,900 6th Street Nevada IA 50201,515-382-7210,900 6th Street Nevada IA 50201,515-382-7221
IA,Warren County,Carlisle,50047,"301 N. Buxton Ave., Ste. 101 Indianola IA 50125",515-961-1020,"301 N. Buxton Ave., Ste. 101 Indianola IA 50125",515-961-1049
IA,Guthrie County,Casey,50048,200 N. 5th Guthrie Center IA 50115,641-747-3619,200 N. 5th Guthrie Center IA 50115,641-747-3027
IA,Lucas County,Chariton,50049,916 Braden Avenue Chariton IA 50049,641-774-4512,916 Braden Avenue Chariton IA 50049,641-774-1615
